SYMB,MM/DD/YY,NAV
CUUR0000SA0,12/01/1922,16.9
CUUR0000SA0,11/01/1922,16.8
CUUR0000SA0,10/01/1922,16.7
CUUR0000SA0,09/01/1922,16.6
CUUR0000SA0,08/01/1922,16.6
CUUR0000SA0,07/01/1922,16.8
CUUR0000SA0,06/01/1922,16.7
CUUR0000SA0,05/01/1922,16.7
CUUR0000SA0,04/01/1922,16.7
CUUR0000SA0,03/01/1922,16.7
CUUR0000SA0,02/01/1922,16.9
CUUR0000SA0,01/01/1922,16.9
CUUR0000SA0,12/01/1921,17.3
CUUR0000SA0,11/01/1921,17.4
CUUR0000SA0,10/01/1921,17.5
CUUR0000SA0,09/01/1921,17.5
CUUR0000SA0,08/01/1921,17.7
CUUR0000SA0,07/01/1921,17.7
CUUR0000SA0,06/01/1921,17.6
CUUR0000SA0,05/01/1921,17.7
CUUR0000SA0,04/01/1921,18.1
CUUR0000SA0,03/01/1921,18.3
CUUR0000SA0,02/01/1921,18.4
CUUR0000SA0,01/01/1921,19.0
CUUR0000SA0,12/01/1920,19.4
CUUR0000SA0,11/01/1920,19.8
CUUR0000SA0,10/01/1920,19.9
CUUR0000SA0,09/01/1920,20.0
CUUR0000SA0,08/01/1920,20.3
CUUR0000SA0,07/01/1920,20.8
CUUR0000SA0,06/01/1920,20.9
CUUR0000SA0,05/01/1920,20.6
CUUR0000SA0,04/01/1920,20.3
CUUR0000SA0,03/01/1920,19.7
CUUR0000SA0,02/01/1920,19.5
CUUR0000SA0,01/01/1920,19.3
CUUR0000SA0,12/01/1919,18.9
CUUR0000SA0,11/01/1919,18.5
CUUR0000SA0,10/01/1919,18.1
CUUR0000SA0,09/01/1919,17.8
CUUR0000SA0,08/01/1919,17.7
CUUR0000SA0,07/01/1919,17.4
CUUR0000SA0,06/01/1919,16.9
CUUR0000SA0,05/01/1919,16.9
CUUR0000SA0,04/01/1919,16.7
CUUR0000SA0,03/01/1919,16.4
CUUR0000SA0,02/01/1919,16.2
CUUR0000SA0,01/01/1919,16.5
CUUR0000SA0,12/01/1918,16.5
CUUR0000SA0,11/01/1918,16.3
CUUR0000SA0,10/01/1918,16.0
CUUR0000SA0,09/01/1918,15.7
CUUR0000SA0,08/01/1918,15.4
CUUR0000SA0,07/01/1918,15.1
CUUR0000SA0,06/01/1918,14.7
CUUR0000SA0,05/01/1918,14.5
CUUR0000SA0,04/01/1918,14.2
CUUR0000SA0,03/01/1918,14.0
CUUR0000SA0,02/01/1918,14.1
CUUR0000SA0,01/01/1918,14.0
CUUR0000SA0,12/01/1917,13.7
CUUR0000SA0,11/01/1917,13.5
CUUR0000SA0,10/01/1917,13.5
CUUR0000SA0,09/01/1917,13.3
CUUR0000SA0,08/01/1917,13.0
CUUR0000SA0,07/01/1917,12.8
CUUR0000SA0,06/01/1917,13.0
CUUR0000SA0,05/01/1917,12.8
CUUR0000SA0,04/01/1917,12.6
CUUR0000SA0,03/01/1917,12.0
CUUR0000SA0,02/01/1917,12.0
CUUR0000SA0,01/01/1917,11.7
CUUR0000SA0,12/01/1916,11.6
CUUR0000SA0,11/01/1916,11.5
CUUR0000SA0,10/01/1916,11.3
CUUR0000SA0,09/01/1916,11.1
CUUR0000SA0,08/01/1916,10.9
CUUR0000SA0,07/01/1916,10.8
CUUR0000SA0,06/01/1916,10.8
CUUR0000SA0,05/01/1916,10.7
CUUR0000SA0,04/01/1916,10.6
CUUR0000SA0,03/01/1916,10.5
CUUR0000SA0,02/01/1916,10.4
CUUR0000SA0,01/01/1916,10.4
CUUR0000SA0,12/01/1915,10.3
CUUR0000SA0,11/01/1915,10.3
CUUR0000SA0,10/01/1915,10.2
CUUR0000SA0,09/01/1915,10.1
CUUR0000SA0,08/01/1915,10.1
CUUR0000SA0,07/01/1915,10.1
CUUR0000SA0,06/01/1915,10.1
CUUR0000SA0,05/01/1915,10.1
CUUR0000SA0,04/01/1915,10.0
CUUR0000SA0,03/01/1915,9.9
CUUR0000SA0,02/01/1915,10.0
CUUR0000SA0,01/01/1915,10.1
CUUR0000SA0,12/01/1914,10.1
CUUR0000SA0,11/01/1914,10.2
CUUR0000SA0,10/01/1914,10.1
CUUR0000SA0,09/01/1914,10.2
CUUR0000SA0,08/01/1914,10.2
CUUR0000SA0,07/01/1914,10.0
CUUR0000SA0,06/01/1914,9.9
CUUR0000SA0,05/01/1914,9.9
CUUR0000SA0,04/01/1914,9.8
CUUR0000SA0,03/01/1914,9.9
CUUR0000SA0,02/01/1914,9.9
CUUR0000SA0,01/01/1914,10.0
CUUR0000SA0,12/01/1913,10.0
CUUR0000SA0,11/01/1913,10.1
CUUR0000SA0,10/01/1913,10.0
CUUR0000SA0,09/01/1913,10.0
CUUR0000SA0,08/01/1913,9.9
CUUR0000SA0,07/01/1913,9.9
CUUR0000SA0,06/01/1913,9.8
CUUR0000SA0,05/01/1913,9.7
CUUR0000SA0,04/01/1913,9.8
CUUR0000SA0,03/01/1913,9.8
CUUR0000SA0,02/01/1913,9.8
CUUR0000SA0,01/01/1913,9.8
CUUR0000AA0,12/01/1922,50.5
CUUR0000AA0,11/01/1922,50.3
CUUR0000AA0,10/01/1922,50.1
CUUR0000AA0,09/01/1922,49.8
CUUR0000AA0,08/01/1922,49.7
CUUR0000AA0,07/01/1922,50.2
CUUR0000AA0,06/01/1922,50.1
